"DOSE","DOSE_UNIT","COMPOUND_NAME","n","DOSE_LEVEL","SINGLE_REPEAT_TYPE","SACRIFICE_PERIOD","rDOSE_LEVEL"
1,"mg/kg","amphotericin B",8,"Low","Single","3 hr","rHigh"
1,"mg/kg","amphotericin B",8,"Low","Single","6 hr","rHigh"
1,"mg/kg","amphotericin B",8,"Low","Single","9 hr","rHigh"
1,"mg/kg","amphotericin B",8,"Low","Single","24 hr","rHigh"
1,"mg/kg","amphotericin B",8,"High","Repeat","4 day","rHigh"
1,"mg/kg","amphotericin B",8,"High","Repeat","8 day","rHigh"
1,"mg/kg","amphotericin B",8,"High","Repeat","15 day","rHigh"
1,"mg/kg","amphotericin B",8,"High","Repeat","29 day","rHigh"
1,"mg/kg","cisplatin",8,"Middle","Single","3 hr","rHigh"
1,"mg/kg","cisplatin",8,"Middle","Single","6 hr","rHigh"
1,"mg/kg","cisplatin",8,"Middle","Single","9 hr","rHigh"
1,"mg/kg","cisplatin",8,"Middle","Single","24 hr","rHigh"
1,"mg/kg","cisplatin",8,"High","Repeat","4 day","rHigh"
1,"mg/kg","cisplatin",8,"High","Repeat","8 day","rHigh"
1,"mg/kg","cisplatin",8,"High","Repeat","15 day","rHigh"
1,"mg/kg","cisplatin",8,"High","Repeat","29 day","rHigh"
1,"mg/kg","doxorubicin",8,"Low","Single","3 hr","rHigh"
1,"mg/kg","doxorubicin",8,"Low","Single","6 hr","rHigh"
1,"mg/kg","doxorubicin",8,"Low","Single","9 hr","rHigh"
1,"mg/kg","doxorubicin",8,"Low","Single","24 hr","rHigh"
1,"mg/kg","doxorubicin",8,"High","Repeat","4 day","rHigh"
1,"mg/kg","doxorubicin",8,"High","Repeat","8 day","rHigh"
1,"mg/kg","doxorubicin",8,"High","Repeat","15 day","rHigh"
1,"mg/kg","doxorubicin",8,"High","Repeat","29 day","rHigh"
1,"mg/kg","ethinylestradiol",8,"Low","Single","3 hr","rLow"
1,"mg/kg","ethinylestradiol",8,"Low","Single","6 hr","rLow"
1,"mg/kg","ethinylestradiol",8,"Low","Single","9 hr","rLow"
1,"mg/kg","ethinylestradiol",8,"Low","Single","24 hr","rLow"
1,"mg/kg","ethinylestradiol",8,"Low","Repeat","4 day","rLow"
1,"mg/kg","ethinylestradiol",8,"Low","Repeat","8 day","rLow"
1,"mg/kg","ethinylestradiol",8,"Low","Repeat","15 day","rLow"
1,"mg/kg","ethinylestradiol",8,"Low","Repeat","29 day","rLow"
1,"mg/kg","lomustine",8,"Low","Single","3 hr","rLow"
1,"mg/kg","lomustine",8,"Low","Single","6 hr","rLow"
1,"mg/kg","lomustine",8,"Low","Single","9 hr","rLow"
1,"mg/kg","lomustine",8,"Low","Single","24 hr","rLow"
1,"mg/kg","lomustine",8,"Low","Repeat","4 day","rLow"
1,"mg/kg","lomustine",8,"Low","Repeat","8 day","rLow"
1,"mg/kg","lomustine",8,"Low","Repeat","15 day","rLow"
1,"mg/kg","lomustine",8,"Low","Repeat","29 day","rLow"
1,"mg/kg","lornoxicam",8,"Low","Single","3 hr","rMiddle"
1,"mg/kg","lornoxicam",8,"Low","Single","6 hr","rMiddle"
1,"mg/kg","lornoxicam",8,"Low","Single","9 hr","rMiddle"
1,"mg/kg","lornoxicam",8,"Low","Single","24 hr","rMiddle"
1,"mg/kg","lornoxicam",8,"Middle","Repeat","4 day","rMiddle"
1,"mg/kg","lornoxicam",8,"Middle","Repeat","8 day","rMiddle"
1,"mg/kg","lornoxicam",8,"Middle","Repeat","15 day","rMiddle"
1,"mg/kg","lornoxicam",8,"Middle","Repeat","29 day","rMiddle"
1,"mg/kg","phalloidin",6,"High","Single","3 hr","rHigh"
1,"mg/kg","phalloidin",6,"High","Single","6 hr","rHigh"
1,"mg/kg","phalloidin",6,"High","Single","9 hr","rHigh"
1,"mg/kg","phalloidin",6,"High","Single","24 hr","rHigh"
1,"mg/kg","phalloidin",6,"High","Repeat","4 day","rHigh"
1,"mg/kg","phalloidin",6,"High","Repeat","8 day","rHigh"
2,"mg/kg","colchicine",8,"Low","Single","3 hr","rMiddle"
2,"mg/kg","colchicine",8,"Low","Single","6 hr","rMiddle"
2,"mg/kg","colchicine",8,"Low","Single","9 hr","rMiddle"
2,"mg/kg","colchicine",8,"Low","Single","24 hr","rMiddle"
2,"mg/kg","colchicine",8,"Middle","Repeat","4 day","rMiddle"
2,"mg/kg","colchicine",8,"Middle","Repeat","8 day","rMiddle"
2,"mg/kg","colchicine",8,"Middle","Repeat","15 day","rMiddle"
2,"mg/kg","colchicine",8,"Middle","Repeat","29 day","rMiddle"
2,"mg/kg","fluphenazine",8,"Low","Single","3 hr","rLow"
2,"mg/kg","fluphenazine",8,"Low","Single","6 hr","rLow"
2,"mg/kg","fluphenazine",8,"Low","Single","9 hr","rLow"
2,"mg/kg","fluphenazine",8,"Low","Single","24 hr","rLow"
2,"mg/kg","fluphenazine",8,"Low","Repeat","4 day","rLow"
2,"mg/kg","fluphenazine",8,"Low","Repeat","8 day","rLow"
2,"mg/kg","fluphenazine",8,"Low","Repeat","15 day","rLow"
2,"mg/kg","fluphenazine",8,"Low","Repeat","29 day","rLow"
2,"mg/kg","lomustine",8,"Middle","Single","3 hr","rMiddle"
2,"mg/kg","lomustine",8,"Middle","Single","6 hr","rMiddle"
2,"mg/kg","lomustine",8,"Middle","Single","9 hr","rMiddle"
2,"mg/kg","lomustine",8,"Middle","Single","24 hr","rMiddle"
2,"mg/kg","lomustine",8,"Middle","Repeat","4 day","rMiddle"
2,"mg/kg","lomustine",8,"Middle","Repeat","8 day","rMiddle"
2,"mg/kg","lomustine",8,"Middle","Repeat","15 day","rMiddle"
2,"mg/kg","lomustine",8,"Middle","Repeat","29 day","rMiddle"
3,"mg/kg","allyl alcohol",8,"Low","Single","3 hr","rLow"
3,"mg/kg","allyl alcohol",8,"Low","Single","6 hr","rLow"
3,"mg/kg","allyl alcohol",8,"Low","Single","9 hr","rLow"
3,"mg/kg","allyl alcohol",8,"Low","Single","24 hr","rLow"
3,"mg/kg","allyl alcohol",8,"Low","Repeat","4 day","rLow"
3,"mg/kg","allyl alcohol",8,"Low","Repeat","8 day","rLow"
3,"mg/kg","allyl alcohol",8,"Low","Repeat","15 day","rLow"
3,"mg/kg","allyl alcohol",8,"Low","Repeat","29 day","rLow"
3,"mg/kg","azathioprine",8,"Low","Single","3 hr","rLow"
3,"mg/kg","azathioprine",8,"Low","Single","6 hr","rLow"
3,"mg/kg","azathioprine",8,"Low","Single","9 hr","rLow"
3,"mg/kg","azathioprine",8,"Low","Single","24 hr","rLow"
3,"mg/kg","azathioprine",8,"Low","Repeat","4 day","rLow"
3,"mg/kg","azathioprine",8,"Low","Repeat","8 day","rLow"
3,"mg/kg","azathioprine",8,"Low","Repeat","15 day","rLow"
3,"mg/kg","azathioprine",8,"Low","Repeat","29 day","rLow"
3,"mg/kg","chlorpheniramine",8,"Low","Single","3 hr","rLow"
3,"mg/kg","chlorpheniramine",8,"Low","Single","6 hr","rLow"
3,"mg/kg","chlorpheniramine",8,"Low","Single","9 hr","rLow"
3,"mg/kg","chlorpheniramine",8,"Low","Single","24 hr","rLow"
3,"mg/kg","chlorpheniramine",8,"Low","Repeat","4 day","rLow"
3,"mg/kg","chlorpheniramine",8,"Low","Repeat","8 day","rLow"
3,"mg/kg","chlorpheniramine",8,"Low","Repeat","15 day","rLow"
3,"mg/kg","chlorpheniramine",8,"Low","Repeat","29 day","rLow"
3,"mg/kg","ethinylestradiol",8,"Middle","Single","3 hr","rMiddle"
3,"mg/kg","ethinylestradiol",8,"Middle","Single","6 hr","rMiddle"
3,"mg/kg","ethinylestradiol",8,"Middle","Single","9 hr","rMiddle"
