"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","SACRIFICE_PERIOD","direction","time_index","COMPOUND_NAME","DOSE","DOSE_UNIT","rDOSE_LEVEL"
"1","Stat2",-0.786496557377021,0.0106845522841483,-5.97755605179201,0.000224584257795024,0.0464889413635699,0.925568376623971,"6 hr",-1,2,"2,4-dinitrophenol",20,"mg/kg","rMiddle"
"2","Irf9",0.642435533867372,-0.0099262636126435,4.66901989329124,0.00047794610843932,0.0494674222234696,-0.0534528214059886,"9 hr",1,3,"2,4-dinitrophenol",6,"mg/kg","rLow"
"3","Stat2",0.614221642195424,-0.146586315007373,5.39244865528955,0.000137231852200291,0.0284069934054602,1.19577465777713,"9 hr",1,3,"2,4-dinitrophenol",6,"mg/kg","rLow"
"4","Arid2",0.571490133438959,-0.0977233557934742,4.29474244401686,0.000766173549369447,0.016859637073544,-0.853644792318449,"9 hr",1,3,"2,4-dinitrophenol",60,"mg/kg","rHigh"
"5","E2f2",-0.737935737155051,0.108742085837183,-4.26289763282791,0.000814475220944156,0.016859637073544,-0.91537932688956,"9 hr",-1,3,"2,4-dinitrophenol",60,"mg/kg","rHigh"
"6","E2f5",-0.559437788491715,0.0917219366974733,-4.7413555905804,0.000328805584672835,0.00972325086103954,0.00312218155097188,"9 hr",-1,3,"2,4-dinitrophenol",60,"mg/kg","rHigh"
"7","Esr2",-0.568925389210533,-0.0946364338106637,-4.2730814695193,0.000798697508593727,0.016859637073544,-0.895628914792431,"9 hr",-1,3,"2,4-dinitrophenol",60,"mg/kg","rHigh"
"8","Foxk2",0.411137840421534,-0.10519154427973,3.48651358732134,0.00370687342503597,0.0491942842893203,-2.43438814567151,"9 hr",1,3,"2,4-dinitrophenol",60,"mg/kg","rHigh"
"9","Irf1",-0.46291017404561,-0.217741058070323,-3.54646053901393,0.00329349417758216,0.0486966639113933,-2.31681737410421,"9 hr",-1,3,"2,4-dinitrophenol",60,"mg/kg","rHigh"
"10","Lhx2",-0.685388617220329,-0.128602354802537,-5.27005923677,0.000124612632335438,0.00515896297868714,0.990162079655108,"9 hr",-1,3,"2,4-dinitrophenol",60,"mg/kg","rHigh"
"11","Mycn",-0.746985241144412,0.140157668248568,-5.16757888866781,0.000149971358619826,0.00517401187238398,0.801455380132245,"9 hr",-1,3,"2,4-dinitrophenol",60,"mg/kg","rHigh"
"12","Ncoa1",0.439217897283494,-0.113600109329754,3.47361323513584,0.00380245675666244,0.0491942842893203,-2.45967689606319,"9 hr",1,3,"2,4-dinitrophenol",60,"mg/kg","rHigh"
"13","Nr1h2",-0.541472904636704,-0.0971035764798852,-4.14461368442995,0.00102298330323023,0.0176464619807215,-1.14529203587022,"9 hr",-1,3,"2,4-dinitrophenol",60,"mg/kg","rHigh"
"14","Nr2c2",0.614410892658486,-0.0458566445830935,5.48883434202815,8.43098219598655e-05,0.00436303328642304,1.38850957677246,"9 hr",1,3,"2,4-dinitrophenol",60,"mg/kg","rHigh"
"15","Six5",0.426567946876113,-0.0310597943976313,3.61504571209852,0.00287722517171578,0.0458142777342435,-2.18222676243185,"9 hr",1,3,"2,4-dinitrophenol",60,"mg/kg","rHigh"
"16","Srebf1",-0.705415309731645,-0.22040428786421,-5.7775584002373,5.08504835045936e-05,0.00436303328642304,1.90447813709144,"9 hr",-1,3,"2,4-dinitrophenol",60,"mg/kg","rHigh"
"17","Srebf2",-0.710187320374833,-0.186923259309732,-5.63089644510881,6.56465749645938e-05,0.00436303328642304,1.64379383955408,"9 hr",-1,3,"2,4-dinitrophenol",60,"mg/kg","rHigh"
"18","Zbtb11",0.520303444022749,0.00494514204326446,4.15907573366904,0.00099479817447778,0.0176464619807215,-1.11713350880018,"9 hr",1,3,"2,4-dinitrophenol",60,"mg/kg","rHigh"
"19","Zfp592",0.745103354893634,-0.146653492570173,6.60090935426228,1.28128551864843e-05,0.00265226102360226,3.31229100494723,"9 hr",1,3,"2,4-dinitrophenol",60,"mg/kg","rHigh"
"20","Foxm1",-0.710331282411047,0.0708941094811145,-4.75654937486407,0.000108635047615289,0.0224874548563648,1.35137609103697,"24 hr",-1,4,"2,4-dinitrophenol",60,"mg/kg","rHigh"
"21","Kmt2a",-0.830510685787512,-0.0735852221653507,-6.24259226084724,0.000163393028303443,0.0338223568588127,1.32150961739513,"15 day",-1,7,"2,4-dinitrophenol",60,"mg/kg","rHigh"
"22","Kmt2a",0.985921714510417,0.0820528315227435,6.83618918695752,1.75562751994333e-06,0.000363414896628269,5.23531132817577,"24 hr",1,4,"acarbose",1000,"mg/kg","rHigh"
"23","Srebf1",-0.665736484716751,-0.132772179561298,-4.48472607945242,0.000264298938653753,0.0184509405513404,0.266905237057707,"24 hr",-1,4,"acarbose",1000,"mg/kg","rHigh"
"24","Srebf2",-0.616698589106794,0.0675066443706183,-4.47953087192009,0.000267404935526672,0.0184509405513404,0.255390646467942,"24 hr",-1,4,"acarbose",1000,"mg/kg","rHigh"
"25","Runx3",0.579570779410151,0.352967882767597,5.56455544959928,0.000221184417948976,0.0457851745154381,0.896967931954089,"3 hr",1,1,"acarbose",300,"mg/kg","rMiddle"
