"","SACRIFICE_PERIOD","rDOSE_LEVEL","compound_sutherland","toxclass","toxlabel","time_index","toxact","COMPOUND_NAME","compound_tggates","chembl_id","compound_chembl"
"1","3 hr","rHigh","3-METHYLCHOLANTHRENE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",1,"toxact_high","3-methylcholanthrene","3-methylcholanthrene","CHEMBL40583","3-METHYLCHOLANTHRENE"
"2","3 hr","rHigh","CYCLOHEXIMIDE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",1,"toxact_high","cycloheximide","cycloheximide","CHEMBL123292","CYCLOHEXIMIDE"
"3","3 hr","rMiddle","CYCLOHEXIMIDE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",1,"toxact_high","cycloheximide","cycloheximide","CHEMBL123292","CYCLOHEXIMIDE"
"4","3 hr","rHigh","PHALLOIDIN","Congestion\Hemorrhage\Edema:Vascular","Vascular Edema",1,"toxact_high","phalloidin","phalloidin","CHEMBL502682","PHALLOIDIN"
"5","3 hr","rHigh","4,4'-METHYLENEDIANILINE","Dilation\Dilatation\Ectasia\Distension:Vascular","Vascular Distension",1,"toxact_high","methylene_dianiline","methylene dianiline","CHEMBL85728","4,4'-METHYLENEDIANILINE"
"6","3 hr","rHigh","3-METHYLCHOLANTHRENE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",1,"toxact_high","3-methylcholanthrene","3-methylcholanthrene","CHEMBL40583","3-METHYLCHOLANTHRENE"
"7","3 hr","rMiddle","3-METHYLCHOLANTHRENE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",1,"toxact_high","3-methylcholanthrene","3-methylcholanthrene","CHEMBL40583","3-METHYLCHOLANTHRENE"
"8","6 hr","rHigh","BORTEZOMIB","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",2,"toxact_high","bortezomib","bortezomib","CHEMBL325041","BORTEZOMIB"
"9","6 hr","rHigh","COLCHICINE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",2,"toxact_high","colchicine","colchicine","CHEMBL107","COLCHICINE"
"10","6 hr","rMiddle","COLCHICINE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",2,"toxact_high","colchicine","colchicine","CHEMBL107","COLCHICINE"
"11","6 hr","rHigh","ETHIONAMIDE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",2,"toxact_high","ethionamide","ethionamide","CHEMBL1441","ETHIONAMIDE"
"12","6 hr","rLow","ETHIONAMIDE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",2,"toxact_high","ethionamide","ethionamide","CHEMBL1441","ETHIONAMIDE"
"13","6 hr","rHigh","GALACTOSAMINE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",2,"toxact_high","galactosamine","galactosamine","CHEMBL606759","GLUCOSAMINE"
"14","6 hr","rMiddle","GALACTOSAMINE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",2,"toxact_high","galactosamine","galactosamine","CHEMBL606759","GLUCOSAMINE"
"15","6 hr","rHigh","GALACTOSAMINE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",2,"toxact_high","galactosamine","galactosamine","CHEMBL606759","GLUCOSAMINE"
"16","6 hr","rMiddle","GALACTOSAMINE","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",2,"toxact_high","galactosamine","galactosamine","CHEMBL606759","GLUCOSAMINE"
"17","6 hr","rHigh","PIRINIXIC ACID","Degeneration\Necrosis:Hepatocellular","Hepatocellular Necrosis",2,"toxact_high","WY-14643","wy-14643","CHEMBL295416","PIRINIXIC ACID"
"18","6 hr","rMiddle","4,4'-METHYLENEDIANILINE","Dilation\Dilatation\Ectasia\Distension:Vascular","Vascular Distension",2,"toxact_high","methylene_dianiline","methylene dianiline","CHEMBL85728","4,4'-METHYLENEDIANILINE"
"19","6 hr","rHigh","BROMOETHYLAMINE","Glycogen_Increased:Hepatocellular","Increased Hepatocellular Glycogen",2,"toxact_high","bromoethylamine","bromoethylamine","CHEMBL1697693","BROMOETHANAMINE"
"20","6 hr","rHigh","CHLORMADINONE ACETATE","Glycogen_Increased:Hepatocellular","Increased Hepatocellular Glycogen",2,"toxact_high","chlormadinone","chlormadinone","CHEMBL1697830","CHLORMADINONE"
"21","6 hr","rMiddle","CHLORMADINONE ACETATE","Glycogen_Increased:Hepatocellular","Increased Hepatocellular Glycogen",2,"toxact_high","chlormadinone","chlormadinone","CHEMBL1697830","CHLORMADINONE"
"22","6 hr","rHigh","COLCHICINE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",2,"toxact_high","colchicine","colchicine","CHEMBL107","COLCHICINE"
"23","6 hr","rMiddle","COLCHICINE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",2,"toxact_high","colchicine","colchicine","CHEMBL107","COLCHICINE"
"24","6 hr","rHigh","DIETHYL MALEATE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",2,"toxact_high","diethyl_maleate","diethyl maleate","CHEMBL2037000","DIETHYL MALEATE"
"25","6 hr","rHigh","PHORONE","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",2,"toxact_high","phorone","phorone","CHEMBL2766015","PHORONE"
"26","9 hr","rHigh","GEFITINIB","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",3,"toxact_high","gefitinib","gefitinib","CHEMBL939","GEFITINIB"
"27","9 hr","rHigh","METHAPYRILENE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",3,"toxact_high","methapyrilene","methapyrilene","CHEMBL1411979","METHAPYRILENE"
"28","9 hr","rHigh","THIOACETAMIDE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",3,"toxact_high","thioacetamide","thioacetamide","CHEMBL38737","THIOACETAMIDE"
"29","9 hr","rHigh","TUNICAMYCIN","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",3,"toxact_high","tunicamycin","tunicamycin","CHEMBL505513","TUNICAMYCIN"
"30","9 hr","rHigh","METHAPYRILENE","Hypertrophy:Hepatocellular","Hepatocellular Hypertrophy",3,"toxact_high","methapyrilene","methapyrilene","CHEMBL1411979","METHAPYRILENE"
"31","9 hr","rHigh","ETHIONAMIDE","Infiltration\Inflammation:Inflammation","Inflammation",3,"toxact_high","ethionamide","ethionamide","CHEMBL1441","ETHIONAMIDE"
"32","9 hr","rLow","ETHIONAMIDE","Infiltration\Inflammation:Inflammation","Inflammation",3,"toxact_high","ethionamide","ethionamide","CHEMBL1441","ETHIONAMIDE"
"33","9 hr","rMiddle","ETHIONAMIDE","Infiltration\Inflammation:Inflammation","Inflammation",3,"toxact_high","ethionamide","ethionamide","CHEMBL1441","ETHIONAMIDE"
"34","9 hr","rHigh","ETHIONINE","Infiltration\Inflammation:Inflammation","Inflammation",3,"toxact_high","ethionine","ethionine","CHEMBL203187","ETHIONINE"
"35","9 hr","rHigh","METHAPYRILENE","Infiltration\Inflammation:Inflammation","Inflammation",3,"toxact_high","methapyrilene","methapyrilene","CHEMBL1411979","METHAPYRILENE"
"36","9 hr","rHigh","PHORONE","Mitosis_Increased:Hepatocellular","Increased Hepatocellular Mitosis",3,"toxact_high","phorone","phorone","CHEMBL2766015","PHORONE"
"37","9 hr","rHigh","DEXAMETHASONE","VacuolationNOS:Hepatocellular","Hepatocellular Vacuolation",3,"toxact_high","dexamethasone","dexamethasone","CHEMBL384467","DEXAMETHASONE"
"38","24 hr","rHigh","AFLATOXIN B1","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",4,"toxact_high","aflatoxin_B1","aflatoxin b1","CHEMBL1697694","AFLATOXIN"
"39","24 hr","rMiddle","AFLATOXIN B1","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",4,"toxact_high","aflatoxin_B1","aflatoxin b1","CHEMBL1697694","AFLATOXIN"
"40","24 hr","rMiddle","ETHIONAMIDE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",4,"toxact_high","ethionamide","ethionamide","CHEMBL1441","ETHIONAMIDE"
"41","24 hr","rHigh","N-NITROSOMORPHOLINE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",4,"toxact_high","N-nitrosomorpholine","n-nitrosomorpholine","CHEMBL165908","N-NITROSOMORPHOLINE"
"42","24 hr","rLow","N-NITROSOMORPHOLINE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",4,"toxact_high","N-nitrosomorpholine","n-nitrosomorpholine","CHEMBL165908","N-NITROSOMORPHOLINE"
"43","24 hr","rMiddle","N-NITROSOMORPHOLINE","Apoptosis\SingleCellNecrosis:Hepatocellular","Hepatocellular Single Cell Necrosis",4,"toxact_high","N-nitrosomorpholine","n-nitrosomorpholine","CHEMBL165908","N-NITROSOMORPHOLINE"
"44","24 hr","rHigh","1-NAPHTHYL ISOTHIOCYANATE","Congestion\Hemorrhage\Edema:Vascular","Vascular Edema",4,"toxact_high","naphthyl_isothiocyanate","naphthyl isothiocyanate","CHEMBL1381098","1-NAPHTHYLISOTHIOCYANATE"
"45","24 hr","rMiddle","1-NAPHTHYL ISOTHIOCYANATE","Congestion\Hemorrhage\Edema:Vascular","Vascular Edema",4,"toxact_high","naphthyl_isothiocyanate","naphthyl isothiocyanate","CHEMBL1381098","1-NAPHTHYLISOTHIOCYANATE"
