"","gene","Parameter1","Parameter2","rho","CI","CI_low","CI_high","S","p","Method","n_Obs"
"1","Ahr","logFC","time_index",0.0357142857142857,0.95,-0.750117513846263,0.779730492307232,54,0.939408205471286,"Spearman",7
"2","Ar","logFC","time_index",0.392857142857143,0.95,-0.532608104928437,0.890456794776322,34,0.383316870426973,"Spearman",7
"3","Arid2","logFC","time_index",-0.107142857142857,0.95,-0.806351171716549,0.716977667906528,62,0.819150855569991,"Spearman",7
"4","Arid3a","logFC","time_index",0.321428571428571,0.95,-0.588725816013676,0.872197896099535,38,0.482072038299678,"Spearman",7
"5","Arnt","logFC","time_index",-0.178571428571429,0.95,-0.830411283250591,0.679640990526113,66,0.701657942516273,"Spearman",7
"6","Arntl","logFC","time_index",-0.535714285714286,0.95,-0.922727150204568,0.389175359320352,86,0.215217455678013,"Spearman",7
"7","Ascl1","logFC","time_index",-0.0357142857142857,0.95,-0.779730492307232,0.750117513846263,58,0.939408205471285,"Spearman",7
"8","Atf1","logFC","time_index",-0.142857142857143,0.95,-0.818677639503581,0.698882230935236,64,0.759945300218093,"Spearman",7
"9","Atf2","logFC","time_index",0.285714285714286,0.95,-0.61383995094539,0.862454159724001,40,0.534509228601041,"Spearman",7
"10","Atf4","logFC","time_index",-0.0357142857142857,0.95,-0.779730492307232,0.750117513846263,58,0.939408205471285,"Spearman",7
"11","Atf6","logFC","time_index",-0.607142857142857,0.95,-0.937055665492017,0.295488838713476,90,0.148231161481161,"Spearman",7
"12","Batf","logFC","time_index",0.285714285714286,0.95,-0.61383995094539,0.862454159724001,40,0.534509228601041,"Spearman",7
"13","Bcl11a","logFC","time_index",0.142857142857143,0.95,-0.698882230935236,0.818677639503581,48,0.759945300218093,"Spearman",7
"14","Cdx2","logFC","time_index",0.428571428571428,0.95,-0.501125431711299,0.899022530679961,32,0.337368311085824,"Spearman",7
"15","Cebpa","logFC","time_index",-0.214285714285714,0.95,-0.841593865259185,0.659141560072491,68,0.644511581020721,"Spearman",7
"16","Cebpb","logFC","time_index",-0.25,0.95,-0.852263315160157,0.637256358189593,70,0.588724448089683,"Spearman",7
"17","Cebpd","logFC","time_index",0.285714285714286,0.95,-0.61383995094539,0.862454159724001,40,0.534509228601041,"Spearman",7
"18","Cebpg","logFC","time_index",-0.392857142857143,0.95,-0.890456794776322,0.532608104928437,78,0.383316870426973,"Spearman",7
"19","Clock","logFC","time_index",0,0.95,-0.765328711338255,0.765328711338255,56,1,"Spearman",7
"20","Creb1","logFC","time_index",0.107142857142857,0.95,-0.716977667906528,0.806351171716549,50,0.819150855569991,"Spearman",7
"21","Creb3","logFC","time_index",-0.214285714285714,0.95,-0.841593865259185,0.659141560072491,68,0.644511581020721,"Spearman",7
"22","Creb3l1","logFC","time_index",-0.464285714285714,0.95,-0.907242773610491,0.466973104905915,82,0.293934107600252,"Spearman",7
"23","Crem","logFC","time_index",0.142857142857143,0.95,-0.698882230935236,0.818677639503581,48,0.759945300218093,"Spearman",7
"24","Ctcf","logFC","time_index",0,0.95,-0.765328711338255,0.765328711338255,56,1,"Spearman",7
"25","Cux1","logFC","time_index",0.535714285714286,0.95,-0.389175359320352,0.922727150204568,26,0.215217455678013,"Spearman",7
"26","E2f2","logFC","time_index",0.714285714285714,0.95,-0.112594026467208,0.956649299954701,16,0.0713435614675377,"Spearman",7
"27","E2f4","logFC","time_index",0.785714285714285,0.95,0.0511339180930237,0.96859690752143,12,0.0362384626798273,"Spearman",7
"28","E2f5","logFC","time_index",-0.5,0.95,-0.9151380131774,0.429796519567316,84,0.253169995100323,"Spearman",7
"29","E2f7","logFC","time_index",0.464285714285714,0.95,-0.466973104905915,0.907242773610491,30,0.293934107600252,"Spearman",7
"30","Ebf1","logFC","time_index",0.285714285714286,0.95,-0.61383995094539,0.862454159724001,40,0.534509228601041,"Spearman",7
"31","Egr1","logFC","time_index",-0.321428571428571,0.95,-0.872197896099535,0.588725816013676,74,0.482072038299678,"Spearman",7
"32","Ehf","logFC","time_index",0.464285714285714,0.95,-0.466973104905915,0.907242773610491,30,0.293934107600252,"Spearman",7
"33","Elf1","logFC","time_index",0.321428571428571,0.95,-0.588725816013676,0.872197896099535,38,0.482072038299678,"Spearman",7
"34","Elf3","logFC","time_index",0.75,0.95,-0.0359825976636463,0.962726841567533,14,0.052181400457058,"Spearman",7
"35","Elk1","logFC","time_index",-0.178571428571429,0.95,-0.830411283250591,0.679640990526113,66,0.701657942516273,"Spearman",7
"36","Elk4","logFC","time_index",-0.178571428571429,0.95,-0.830411283250591,0.679640990526113,66,0.701657942516273,"Spearman",7
"37","Eomes","logFC","time_index",-0.107142857142857,0.95,-0.806351171716549,0.716977667906528,62,0.819150855569991,"Spearman",7
"38","Epas1","logFC","time_index",-0.464285714285714,0.95,-0.907242773610491,0.466973104905915,82,0.293934107600252,"Spearman",7
"39","Erg","logFC","time_index",-0.642857142857143,0.95,-0.943826178665987,0.241084354628694,92,0.119392373427411,"Spearman",7
"40","Esr1","logFC","time_index",0.178571428571429,0.95,-0.679640990526113,0.830411283250591,46,0.701657942516273,"Spearman",7
"41","Esr2","logFC","time_index",-0.285714285714286,0.95,-0.862454159724001,0.61383995094539,72,0.534509228601041,"Spearman",7
"42","Esrra","logFC","time_index",0,0.95,-0.765328711338255,0.765328711338255,56,1,"Spearman",7
"43","Ets1","logFC","time_index",-0.392857142857143,0.95,-0.890456794776322,0.532608104928437,78,0.383316870426973,"Spearman",7
"44","Ets2","logFC","time_index",-0.642857142857143,0.95,-0.943826178665987,0.241084354628694,92,0.119392373427411,"Spearman",7
"45","Etv1","logFC","time_index",-0.107142857142857,0.95,-0.806351171716549,0.716977667906528,62,0.819150855569991,"Spearman",7
"46","Etv4","logFC","time_index",-0.321428571428571,0.95,-0.872197896099535,0.588725816013676,74,0.482072038299678,"Spearman",7
"47","Fli1","logFC","time_index",-0.535714285714286,0.95,-0.922727150204568,0.389175359320352,86,0.215217455678013,"Spearman",7
"48","Fosl1","logFC","time_index",0.392857142857143,0.95,-0.532608104928437,0.890456794776322,34,0.383316870426973,"Spearman",7
"49","Fosl2","logFC","time_index",-0.0714285714285714,0.95,-0.79338578827168,0.734026689960797,60,0.879048193148154,"Spearman",7
"50","Foxa1","logFC","time_index",0.178571428571429,0.95,-0.679640990526113,0.830411283250591,46,0.701657942516273,"Spearman",7
"51","Foxa2","logFC","time_index",0.607142857142857,0.95,-0.295488838713476,0.937055665492017,22,0.148231161481161,"Spearman",7
"52","Foxj2","logFC","time_index",0.285714285714286,0.95,-0.61383995094539,0.862454159724001,40,0.534509228601041,"Spearman",7
"53","Foxk2","logFC","time_index",0.321428571428571,0.95,-0.588725816013676,0.872197896099535,38,0.482072038299678,"Spearman",7
"54","Foxl2","logFC","time_index",-0.178571428571429,0.95,-0.830411283250591,0.679640990526113,66,0.701657942516273,"Spearman",7
"55","Foxm1","logFC","time_index",0.142857142857143,0.95,-0.698882230935236,0.818677639503581,48,0.759945300218093,"Spearman",7
"56","Foxo1","logFC","time_index",-0.214285714285714,0.95,-0.841593865259185,0.659141560072491,68,0.644511581020721,"Spearman",7
"57","Foxo3","logFC","time_index",-0.607142857142857,0.95,-0.937055665492017,0.295488838713476,90,0.148231161481161,"Spearman",7
"58","Foxo4","logFC","time_index",-0.0357142857142857,0.95,-0.779730492307232,0.750117513846263,58,0.939408205471285,"Spearman",7
"59","Gabpa","logFC","time_index",0.5,0.95,-0.429796519567316,0.9151380131774,28,0.253169995100323,"Spearman",7
"60","Gata2","logFC","time_index",-0.142857142857143,0.95,-0.818677639503581,0.698882230935236,64,0.759945300218093,"Spearman",7
"61","Gata3","logFC","time_index",-0.428571428571428,0.95,-0.899022530679961,0.501125431711299,80,0.337368311085824,"Spearman",7
"62","Gata4","logFC","time_index",-0.357142857142857,0.95,-0.881523316981174,0.561722376541147,76,0.431611352038328,"Spearman",7
"63","Gata6","logFC","time_index",0.142857142857143,0.95,-0.698882230935236,0.818677639503581,48,0.759945300218093,"Spearman",7
"64","Gfi1b","logFC","time_index",-0.0714285714285714,0.95,-0.79338578827168,0.734026689960797,60,0.879048193148154,"Spearman",7
"65","Hif1a","logFC","time_index",-0.428571428571428,0.95,-0.899022530679961,0.501125431711299,80,0.337368311085824,"Spearman",7
"66","Hinfp","logFC","time_index",-0.285714285714286,0.95,-0.862454159724001,0.61383995094539,72,0.534509228601041,"Spearman",7
"67","Hnf1a","logFC","time_index",-0.892857142857143,0.95,-0.985063318417604,-0.402716114518575,106,0.00680718740893541,"Spearman",7
"68","Hnf1b","logFC","time_index",-0.178571428571429,0.95,-0.830411283250591,0.679640990526113,66,0.701657942516273,"Spearman",7
"69","Hnf4a","logFC","time_index",-0.75,0.95,-0.962726841567533,0.0359825976636463,98,0.052181400457058,"Spearman",7
"70","Hoxb13","logFC","time_index",-0.678571428571428,0.95,-0.95035308505037,0.180492475752907,94,0.0937502539598315,"Spearman",7
"71","Hsf1","logFC","time_index",0.285714285714286,0.95,-0.61383995094539,0.862454159724001,40,0.534509228601041,"Spearman",7
"72","Irf1","logFC","time_index",0.357142857142857,0.95,-0.561722376541147,0.881523316981174,36,0.431611352038328,"Spearman",7
"73","Irf2","logFC","time_index",0.0714285714285714,0.95,-0.734026689960797,0.79338578827168,52,0.879048193148154,"Spearman",7
"74","Irf3","logFC","time_index",-0.0357142857142857,0.95,-0.779730492307232,0.750117513846263,58,0.939408205471285,"Spearman",7
"75","Irf9","logFC","time_index",-0.142857142857143,0.95,-0.818677639503581,0.698882230935236,64,0.759945300218093,"Spearman",7
"76","Jun","logFC","time_index",-0.142857142857143,0.95,-0.818677639503581,0.698882230935236,64,0.759945300218093,"Spearman",7
"77","Junb","logFC","time_index",0.428571428571428,0.95,-0.501125431711299,0.899022530679961,32,0.337368311085824,"Spearman",7
"78","Jund","logFC","time_index",-0.178571428571429,0.95,-0.830411283250591,0.679640990526113,66,0.701657942516273,"Spearman",7
"79","Kdm5b","logFC","time_index",0.607142857142857,0.95,-0.295488838713476,0.937055665492017,22,0.148231161481161,"Spearman",7
"80","Klf1","logFC","time_index",0.357142857142857,0.95,-0.561722376541147,0.881523316981174,36,0.431611352038328,"Spearman",7
"81","Klf3","logFC","time_index",0.357142857142857,0.95,-0.561722376541147,0.881523316981174,36,0.431611352038328,"Spearman",7
"82","Klf4","logFC","time_index",0.571428571428571,0.95,-0.344607635816334,0.930027647796908,24,0.180201988911528,"Spearman",7
"83","Klf5","logFC","time_index",0.357142857142857,0.95,-0.561722376541147,0.881523316981174,36,0.431611352038328,"Spearman",7
"84","Klf6","logFC","time_index",0.464285714285714,0.95,-0.466973104905915,0.907242773610491,30,0.293934107600252,"Spearman",7
"85","Klf9","logFC","time_index",0.321428571428571,0.95,-0.588725816013676,0.872197896099535,38,0.482072038299678,"Spearman",7
"86","Kmt2a","logFC","time_index",-0.464285714285714,0.95,-0.907242773610491,0.466973104905915,82,0.293934107600252,"Spearman",7
"87","Lef1","logFC","time_index",0.178571428571429,0.95,-0.679640990526113,0.830411283250591,46,0.701657942516273,"Spearman",7
"88","Lhx2","logFC","time_index",0.357142857142857,0.95,-0.561722376541147,0.881523316981174,36,0.431611352038328,"Spearman",7
"89","Lyl1","logFC","time_index",0.392857142857143,0.95,-0.532608104928437,0.890456794776322,34,0.383316870426973,"Spearman",7
"90","Maf","logFC","time_index",-0.142857142857143,0.95,-0.818677639503581,0.698882230935236,64,0.759945300218093,"Spearman",7
"91","Mafb","logFC","time_index",0.678571428571428,0.95,-0.180492475752907,0.95035308505037,18,0.0937502539598315,"Spearman",7
"92","Maff","logFC","time_index",0.0714285714285714,0.95,-0.734026689960797,0.79338578827168,52,0.879048193148154,"Spearman",7
"93","Mafg","logFC","time_index",0.607142857142857,0.95,-0.295488838713476,0.937055665492017,22,0.148231161481161,"Spearman",7
"94","Mafk","logFC","time_index",0.428571428571428,0.95,-0.501125431711299,0.899022530679961,32,0.337368311085824,"Spearman",7
"95","Max","logFC","time_index",0.357142857142857,0.95,-0.561722376541147,0.881523316981174,36,0.431611352038328,"Spearman",7
"96","Maz","logFC","time_index",0.678571428571428,0.95,-0.180492475752907,0.95035308505037,18,0.0937502539598315,"Spearman",7
"97","Mbd2","logFC","time_index",-0.464285714285714,0.95,-0.907242773610491,0.466973104905915,82,0.293934107600252,"Spearman",7
